id,ra,dec,dist,dist84,dist16,x,y,z,g,bp,rp,class,xtime,seto,SN,xtime_err
3797399221704744960,172.1808414152299,-0.3048438711595482,124.033966,124.32107,123.75979,-7.38602385541617,-68.71491506883872,102.99387209971205,10.5749035,10.919647,10.066737,SOLAR_LIKE,2457588.0267635346,False,1604,0.9153241
5020048455210023168,32.910666480024425,-29.969934153366708,93.45717,93.63579,93.320244,-19.763647097085595,-20.857247571577044,-88.92447560429896,12.7518425,13.619308,11.837672,SOLAR_LIKE,2457057.7384937326,False,1604,0.51458365
2313529218263024256,0.5588344607483204,-32.733318181664046,136.78058,137.06133,136.55205,28.17537404887571,1.102401661885068,-133.8482716479208,12.453721,13.027129,11.7398815,SOLAR_LIKE,2457595.4269551677,False,1604,0.8305203
2314131918138208000,357.8663031144623,-32.43479418551225,141.8063,142.04135,141.49841,33.80195700290915,4.266053862536239,-137.65920401700413,12.386192,12.984663,11.651067,SOLAR_LIKE,2457328.361601485,False,1604,0.8854138
5254924582990157568,154.52386171456243,-60.2220602973168,149.96632,150.2516,149.63852,38.69371343558487,-144.7035977008823,-7.458153976025745,12.874987,13.545694,12.087951,SOLAR_LIKE,2457307.8943731366,False,1604,0.99980444
5741524620734763648,142.0614092707131,-8.49134564905703,88.78411,88.90813,88.6478,-36.87357090921796,-68.02710817554234,43.51213405582297,13.873484,15.014094,12.806129,SOLAR_LIKE,2457530.783427195,False,1604,0.42454177
5743396230043719296,137.3645528475494,-9.758091628800592,85.39277,85.51533,85.289635,-39.26948738374085,-66.7591736659081,35.92982826016839,13.646629,14.784305,12.587839,SOLAR_LIKE,2457154.4439286175,False,1604,0.36805564
1107452923526235520,93.73548200087919,70.60486957448008,76.34585,76.44984,76.26232,-56.74737198596358,41.72269651636317,29.404376769186317,9.810114,10.201509,9.255119,SOLAR_LIKE,2457528.5552711296,False,1604,0.30579647
387499925201141504,11.33285491608642,43.39336809033253,85.51059,85.63061,85.378586,-42.47779628436638,68.55447585688756,-28.385175536856327,14.162492,15.292367,13.108009,SOLAR_LIKE,2457414.3448367068,False,1604,0.41099256
5652110170504192896,131.54952365041493,-26.66273642215256,90.74844,90.82747,90.65353,-30.288871000431755,-83.99490016621787,16.15880337498587,13.398486,14.457874,12.3751955,SOLAR_LIKE,2457447.9685458527,False,1604,0.28366238
3178711209941448448,65.44041966828628,-12.362556972715621,70.46954,70.56097,70.386795,-49.04047374233414,-24.98288256332149,-43.9798940843835,14.197622,15.460319,13.088291,SOLAR_LIKE,2457663.9204828143,False,1604,0.28403565
1421119573470958592,264.37156967159603,55.89407561650337,158.2601,158.54515,158.0558,14.455143553838752,132.86782522205021,84.75977110980013,11.932423,12.3975525,11.305202,SOLAR_LIKE,2457374.7901455904,False,1604,0.7980221
2163166433326555520,312.68092679938394,44.77463600608449,148.78094,149.01445,148.5952,13.216085566898073,148.19176928534165,1.0037046406374337,12.42384,13.004781,11.702256,SOLAR_LIKE,2457469.1385975955,False,1604,0.6837061
